@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute freq numeric
@attribute amp numeric
@attribute index numeric
@attribute fx numeric
@attribute release numeric
@attribute phase numeric

@data
1,'2023/11/30 15:38:11:444',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
2,'2023/11/30 15:38:11:691',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
3,'2023/11/30 15:38:11:943',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
4,'2023/11/30 15:38:12:193',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
5,'2023/11/30 15:38:12:527',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
6,'2023/11/30 15:38:12:705',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
7,'2023/11/30 15:38:13:040',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
8,'2023/11/30 15:38:13:242',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
9,'2023/11/30 15:38:13:555',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
10,'2023/11/30 15:38:13:756',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
11,'2023/11/30 15:38:13:947',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
12,'2023/11/30 15:38:14:269',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
13,'2023/11/30 15:38:14:473',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
14,'2023/11/30 15:38:14:778',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
15,'2023/11/30 15:38:14:985',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
16,'2023/11/30 15:38:15:203',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
17,'2023/11/30 15:38:15:496',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
18,'2023/11/30 15:38:15:805',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
19,'2023/11/30 15:38:16:009',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
20,'2023/11/30 15:38:16:211',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
21,'2023/11/30 15:38:16:520',1,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0
22,'2023/11/30 15:38:16:725',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
23,'2023/11/30 15:38:17:033',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
24,'2023/11/30 15:38:17:237',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
25,'2023/11/30 15:38:17:543',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
26,'2023/11/30 15:38:17:751',1,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0
27,'2023/11/30 15:38:41:712',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
28,'2023/11/30 15:38:41:771',2,0,0,0,0,0,0,0,0,0,0,554,30,1,0,0,0,0
29,'2023/11/30 15:38:42:121',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
30,'2023/11/30 15:38:42:331',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
31,'2023/11/30 15:38:42:532',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
32,'2023/11/30 15:38:42:772',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
33,'2023/11/30 15:38:43:044',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
34,'2023/11/30 15:38:43:348',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
35,'2023/11/30 15:38:43:555',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
36,'2023/11/30 15:38:43:863',2,0,0,0,0,0,0,0,0,0,0,554,30,1,0,0,0,0
37,'2023/11/30 15:38:44:066',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
38,'2023/11/30 15:38:44:374',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
39,'2023/11/30 15:38:44:579',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
40,'2023/11/30 15:38:44:785',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
41,'2023/11/30 15:38:45:089',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
42,'2023/11/30 15:38:45:295',2,0,0,0,0,0,0,0,0,0,0,556,30,1,0,0,0,0
43,'2023/11/30 15:38:45:603',2,0,0,0,0,0,0,0,0,0,0,555,30,1,0,0,0,0
